-1 1:-0.569634 2:-0.55443 3:-0.516807 4:-0.614849 5:-0.483198 6:-0.493827 7:-0.50365 8:-0.55102 9:-0.608806 10:-0.472 11:-0.541446 12:-0.568254 13:-0.601215 14:-0.489637 15:-0.647307 16:-0.654584
-1 1:-0.915893 2:-0.931646 3:-0.897059 4:-0.948956 5:-0.921205 6:-0.950617 7:-0.927007 8:-0.982143 9:-0.920406 10:-0.904 11:-0.911817 12:-0.968254 13:-0.949393 14:-0.976684 15:-0.966209 16:-0.977257
-1 1:-0.620972 2:-0.632911 3:-0.672269 4:-0.648879 5:-0.63847 6:-0.654321 7:-0.673966 8:-0.693878 9:-0.669771 10:-0.704 11:-0.657848 12:-0.631746 13:-0.647773 14:-0.668394 15:-0.659979 16:-0.71855
-1 1:-0.752048 2:-0.787342 3:-0.794118 4:-0.704563 5:-0.74044 6:-0.781893 7:-0.819951 8:-0.77551 9:-0.774767 10:-0.788 11:-0.795414 12:-0.761905 13:-0.746964 14:-0.73057 15:-0.736008 16:-0.749822
-1 1:-0.965046 2:-0.962025 3:-0.957983 4:-0.978345 5:-0.976825 6:-0.958848 7:-0.946472 8:-0.971939 9:-0.959356 10:-0.932 11:-0.961199 12:-0.980952 13:-0.977733 14:-0.989637 15:-0.966209 16:-0.964463
-1 1:-0.68651 2:-0.668354 3:-0.657563 4:-0.644238 5:-0.568946 6:-0.62963 7:-0.703163 8:-0.642857 9:-0.735817 10:-0.604 11:-0.710758 12:-0.701587 13:-0.637652 14:-0.582902 15:-0.73812 16:-0.719972
-1 1:-0.909339 2:-0.896203 3:-0.840336 4:-0.880897 5:-0.877173 6:-0.909465 7:-0.863747 8:-0.905612 9:-0.859441 10:-0.864 11:-0.749559 12:-0.812698 13:-0.890688 14:-0.878238 15:-0.847941 16:-0.879176
-1 1:-0.750956 2:-0.75443 3:-0.735294 4:-0.74478 5:-0.756663 6:-0.73251 7:-0.722628 8:-0.803571 9:-0.747671 10:-0.784 11:-0.700176 12:-0.711111 13:-0.736842 14:-0.761658 15:-0.767687 16:-0.762615
-1 1:-0.821955 2:-0.812658 3:-0.768908 4:-0.791183 5:-0.791425 6:-0.761317 7:-0.810219 8:-0.732143 9:-0.788315 10:-0.68 11:-0.626102 12:-0.695238 13:-0.797571 14:-0.782383 15:-0.678986 16:-0.7086
-1 1:-0.552157 2:-0.534177 3:-0.529412 4:-0.599381 5:-0.520278 6:-0.555556 7:-0.600973 8:-0.619898 9:-0.596952 10:-0.568 11:-0.552028 12:-0.55873 13:-0.558704 14:-0.611399 15:-0.621964 16:-0.610519
-1 1:-0.655926 2:-0.665823 3:-0.651261 4:-0.724671 5:-0.615295 6:-0.674897 7:-0.6691 8:-0.688776 9:-0.730737 10:-0.616 11:-0.66843 12:-0.669841 13:-0.702429 14:-0.658031 15:-0.736008 16:-0.788202
-1 1:-0.948662 2:-0.949367 3:-0.951681 4:-0.952049 5:-0.939745 6:-0.930041 7:-0.946472 8:-0.954082 9:-0.954276 10:-0.908 11:-0.904762 12:-0.92381 13:-0.965587 14:-0.958549 15:-0.915523 16:-0.94172
-1 1:-0.949754 2:-0.875949 3:-0.943277 4:-0.924207 5:-0.911935 6:-0.90535 7:-0.902676 8:-0.867347 9:-0.933954 10:-0.892 11:-0.911817 12:-0.863492 13:-0.908907 14:-0.901554 15:-0.871172 16:-0.911869
-1 1:-0.9716 2:-0.992405 3:-0.972689 4:-0.965971 5:-0.976825 6:-0.942387 7:-0.965937 8:-0.936224 9:-0.984759 10:-0.908 11:-0.975309 12:-0.946032 13:-0.967611 14:-0.948187 15:-0.940866 16:-0.94172
-1 1:-0.771709 2:-0.779747 3:-0.701681 4:-0.718484 5:-0.728853 6:-0.794239 7:-0.6691 8:-0.770408 9:-0.73243 10:-0.636 11:-0.696649 12:-0.711111 13:-0.730769 14:-0.738342 15:-0.727561 16:-0.707178
-1 1:-0.603495 2:-0.56962 3:-0.590336 4:-0.673627 5:-0.61066 6:-0.54321 7:-0.620438 8:-0.655612 9:-0.586791 10:-0.74 11:-0.742504 12:-0.711111 13:-0.674089 14:-0.611399 15:-0.733897 16:-0.714286
-1 1:-0.63408 2:-0.627848 3:-0.668067 4:-0.656613 5:-0.654693 6:-0.674897 7:-0.742092 8:-0.716837 9:-0.635902 10:-0.668 11:-0.647266 12:-0.819048 13:-0.678138 14:-0.774611 15:-0.695882 16:-0.742715
