-1 1:0.215183 2:0.222785 3:0.241597 4:0.192575 5:0.258401 6:0.253086 7:0.248175 8:0.22449 9:0.195597 10:0.264 11:0.229277 12:0.215873 13:0.199393 14:0.255181 15:0.176346 16:0.172708
-1 1:0.0420535 2:0.0341772 3:0.0514706 4:0.025522 5:0.0393975 6:0.0246914 7:0.0364964 8:0.00892857 9:0.0397968 10:0.048 11:0.0440917 12:0.015873 13:0.0253036 14:0.011658 15:0.0168955 16:0.0113717
-1 1:0.189514 2:0.183544 3:0.163866 4:0.175561 5:0.180765 6:0.17284 7:0.163017 8:0.153061 9:0.165114 10:0.148 11:0.171076 12:0.184127 13:0.176113 14:0.165803 15:0.170011 16:0.140725
-1 1:0.123976 2:0.106329 3:0.102941 4:0.147718 5:0.12978 6:0.109053 7:0.0900243 8:0.112245 9:0.112616 10:0.106 11:0.102293 12:0.119048 13:0.126518 14:0.134715 15:0.131996 16:0.125089
-1 1:0.0174768 2:0.0189873 3:0.0210084 4:0.0108275 5:0.0115875 6:0.0205761 7:0.026764 8:0.0140306 9:0.0203218 10:0.034 11:0.0194004 12:0.00952381 13:0.0111336 14:0.00518135 15:0.0168955 16:0.0177683
-1 1:0.156745 2:0.165823 3:0.171218 4:0.177881 5:0.215527 6:0.185185 7:0.148418 8:0.178571 9:0.132091 10:0.198 11:0.144621 12:0.149206 13:0.181174 14:0.208549 15:0.13094 16:0.140014
-1 1:0.0453304 2:0.0518987 3:0.0798319 4:0.0595514 5:0.0614137 6:0.0452675 7:0.0681265 8:0.0471939 9:0.0702794 10:0.068 11:0.12522 12:0.0936508 13:0.0546559 14:0.0608808 15:0.0760296 16:0.0604122
-1 1:0.124522 2:0.122785 3:0.132353 4:0.12761 5:0.121669 6:0.133745 7:0.138686 8:0.0982143 9:0.126164 10:0.108 11:0.149912 12:0.144444 13:0.131579 14:0.119171 15:0.116156 16:0.118692
-1 1:0.0890224 2:0.0936709 3:0.115546 4:0.104408 5:0.104287 6:0.119342 7:0.0948905 8:0.133929 9:0.105843 10:0.16 11:0.186949 12:0.152381 13:0.101215 14:0.108808 15:0.160507 16:0.1457
-1 1:0.223921 2:0.232911 3:0.235294 4:0.200309 5:0.239861 6:0.222222 7:0.199513 8:0.190051 9:0.201524 10:0.216 11:0.223986 12:0.220635 13:0.220648 14:0.194301 15:0.189018 16:0.194741
-1 1:0.172037 2:0.167089 3:0.17437 4:0.137664 5:0.192352 6:0.162551 7:0.16545 8:0.155612 9:0.134632 10:0.192 11:0.165785 12:0.165079 13:0.148785 14:0.170984 15:0.131996 16:0.105899
-1 1:0.025669 2:0.0253165 3:0.0241597 4:0.0239753 5:0.0301275 6:0.0349794 7:0.026764 8:0.0229592 9:0.022862 10:0.046 11:0.047619 12:0.0380952 13:0.0172065 14:0.0207254 15:0.0422386 16:0.02914
-1 1:0.0251229 2:0.0620253 3:0.0283613 4:0.0378964 5:0.0440324 6:0.0473251 7:0.0486618 8:0.0663265 9:0.0330229 10:0.054 11:0.0440917 12:0.068254 13:0.0455466 14:0.0492228 15:0.0644139 16:0.0440654
-1 1:0.0141999 2:0.00379747 3:0.0136555 4:0.0170147 5:0.0115875 6:0.0288066 7:0.0170316 8:0.0318878 9:0.00762066 10:0.046 11:0.0123457 12:0.0269841 13:0.0161943 14:0.0259067 15:0.0295671 16:0.02914
-1 1:0.114145 2:0.110127 3:0.14916 4:0.140758 5:0.135574 6:0.102881 7:0.16545 8:0.114796 9:0.133785 10:0.182 11:0.151675 12:0.144444 13:0.134615 14:0.130829 15:0.13622 16:0.146411
-1 1:0.198252 2:0.21519 3:0.204832 4:0.163186 5:0.19467 6:0.228395 7:0.189781 8:0.172194 9:0.206605 10:0.13 11:0.128748 12:0.144444 13:0.162955 14:0.194301 15:0.133052 16:0.142857
-1 1:0.18296 2:0.186076 3:0.165966 4:0.171694 5:0.172654 6:0.162551 7:0.128954 8:0.141582 9:0.182049 10:0.166 11:0.176367 12:0.0904762 13:0.160931 14:0.112694 15:0.152059 16:0.128643
-1 1:0.0567996 2:0.0860759 3:0.0619748 4:0.123743 5:0.114716 6:0.13786 7:0.0851582 8:0.121173 9:0.0575783 10:0.154 11:0.126984 12:0.114286 13:0.118421 14:0.11399 15:0.128828 16:0.150675
-1 1:0.0393228 2:0.0253165 3:0.0346639 4:0.0317092 5:0.0289687 6:0.0514403 7:0.0340633 8:0.0293367 9:0.0270957 10:0.042 11:0.0299824 12:0.0349206 13:0.034413 14:0.0323834 15:0.0285111 16:0.021322
